Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change
3ac4ec670c881668aaedb2c3937bae5e10984988,conf.py,100.0,100.0,0.0,0.0,0.0,,247.0,239.0,-8.0
36717b02731ad7d86ba8effbe27e70405e48cd9b,flask.py,,,,,,,,,
36717b02731ad7d86ba8effbe27e70405e48cd9b,flask_tests.py,,,,,,,,,
f1603d33f266ab24eda604f76632fa604b91e3f9,flask.py,,,,,,,,,
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,flask.py,,,,,,,,,
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,flask_tests.py,,,,,,,,,
9248a7baca5bc616a60f9b63b525e872fbfddef2,flask.py,,,,,,,,,
dffb3d091c0e42b7254fe88218811c24c0054f7e,flask.py,,,,,,,,,
dffb3d091c0e42b7254fe88218811c24c0054f7e,flask_tests.py,,,,,,,,,
67fc46526234653b0a519e9f1e8a05a2c40c80f8,flask.py,,,,,,,,,
67fc46526234653b0a519e9f1e8a05a2c40c80f8,flask_tests.py,,,,,,,,,
bc0c0559e384dc88441775a3907487f4a2b515b4,openidexample.py,,61.54411577737089,,,26.0,,,165.0,
bc0c0559e384dc88441775a3907487f4a2b515b4,simpleopenid.py,,72.35105049645699,,,15.0,,,108.0,
a921aef6c47cecbacef5173f03c07c52e6bc8fea,flask.py,,,,,,,,,
a921aef6c47cecbacef5173f03c07c52e6bc8fea,flask_tests.py,,,,,,,,,
745638e774063de206aae930df71789de13e7c73,flask.py,,,,,,,,,
745638e774063de206aae930df71789de13e7c73,flask_tests.py,,,,,,,,,
da8f88a22eab8195e48fa4ef63c6a3195c860eb0,openidexample.py,61.54411577737089,,,26.0,,,165.0,,
da8f88a22eab8195e48fa4ef63c6a3195c860eb0,simpleopenid.py,72.35105049645699,,,15.0,,,108.0,,
34e3d64892f2281aa1b6f6357c345b0a357ee51a,conf.py,100.0,100.0,0.0,0.0,0.0,,239.0,236.0,-3.0
